id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,experience,employment,adv_response_url,is_adv_vacancy,adv_context,show_logo_in_search,branding
101338363,False,Middle Android Developer,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}","{'from': 190000, 'to': 280000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2024-07-05T12:45:02+0300,2024-07-05T12:45:02+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=101338363,,https://api.hh.ru/vacancies/101338363?host=hh.ru,https://hh.ru/vacancy/101338363,[],"{'id': '67611', 'name': 'Тензор', 'url': 'https://api.hh.ru/employers/67611', 'alternate_url': 'https://hh.ru/employer/67611', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/2558697.png', '240': 'https://img.hhcdn.ru/employer-logo/2558698.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/529305.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=67611', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Какие hard <highlighttext>skills</highlighttext> ждем от кандидата: Опыт коммерческой разработки от двух лет. Уверенные знания Kotlin и Android SDK; Git, Dagger...', 'responsibility': None}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,True,"{'type': 'MAKEUP', 'tariff': None}"
101653606,False,Engineering & Manufacturing Intern / Стажер производственного подразделения,,False,False,"{'id': '88', 'name': 'Казань', 'url': 'https://api.hh.ru/areas/88'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'муниципальное образование Город Новомосковск', 'street': 'Комсомольское шоссе', 'building': '64', 'lat': 54.067791, 'lng': 38.257685, 'description': None, 'raw': 'муниципальное образование Город Новомосковск, Комсомольское шоссе, 64', 'metro': None, 'metro_stations': [], 'id': '901568'}",,,2024-06-26T10:25:22+0300,2024-06-26T10:25:22+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=101653606,,https://api.hh.ru/vacancies/101653606?host=hh.ru,https://hh.ru/vacancy/101653606,[],"{'id': '2999230', 'name': 'Procter&Gamble - Новомосковск', 'url': 'https://api.hh.ru/employers/2999230', 'alternate_url': 'https://hh.ru/employer/2999230', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/2256468.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/2256467.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/453625.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2999230', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'A passion to lead, a hunger to learn, a thirst to overcome barriers. Strong interpersonal and analytical <highlighttext>skills</highlighttext>. ', 'responsibility': 'The P&G Internship program is a holistic 3-6 month program designed to give students and graduates an intensive...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'probation', 'name': 'Стажировка'}",,False,,,
103308008,False,Middle+ PHP-Developer,,False,False,"{'id': '2758', 'name': 'Тбилиси', 'url': 'https://api.hh.ru/areas/2758'}","{'from': 2500, 'to': None, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Тбилиси', 'street': 'улица Николая Кипшидзе', 'building': '9', 'lat': 41.713972, 'lng': 44.759152, 'description': None, 'raw': 'Тбилиси, улица Николая Кипшидзе, 9', 'metro': None, 'metro_stations': [], 'id': '16056210'}",,,2024-07-04T16:53:58+0300,2024-07-04T16:53:58+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103308008,,https://api.hh.ru/vacancies/103308008?host=hh.ru,https://hh.ru/vacancy/103308008,[],"{'id': '6081142', 'name': 'OVS FORTIS', 'url': 'https://api.hh.ru/employers/6081142', 'alternate_url': 'https://hh.ru/employer/6081142', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/947500.jpg', '240': 'https://img.hhcdn.ru/employer-logo/4230537.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/4230536.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=6081142', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Good communicator with good interpersonal <highlighttext>skills</highlighttext>. Good verbal and writing <highlighttext>skills</highlighttext>. Able to work with distributed team and develop ideas. ', 'responsibility': 'Own the project from start to finish with appropriate problem-solving <highlighttext>skills</highlighttext>. Collaborate effectively with technical leadership and team members. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
102941488,False,Java Developer-программист/стажер,,False,False,"{'id': '26', 'name': 'Воронеж', 'url': 'https://api.hh.ru/areas/26'}","{'from': 70000, 'to': 80000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2024-06-28T17:49:49+0300,2024-06-28T17:49:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102941488,,https://api.hh.ru/vacancies/102941488?host=hh.ru,https://hh.ru/vacancy/102941488,[],"{'id': '6093775', 'name': 'Aston', 'url': 'https://api.hh.ru/employers/6093775', 'alternate_url': 'https://hh.ru/employer/6093775', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6574070.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/6574069.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1238409.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=6093775', 'accredited_it_employer': True, 'trusted': True}","{'requirement': '...Framework, а также ORM (Hibernate Framework). Высшее образование. Успешное прохождение online Java-интенсива ASTON. - развитие soft <highlighttext>skills</highlighttext> и презентационных навыков.', 'responsibility': 'После online Java-интенсива - Лаборатория - теоретико-практическая подготовка к работе на коммерческом проекте: - теоретическое обучение по плану с еженедельными проверками...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'probation', 'name': 'Стажировка'}",,False,,True,"{'type': 'MAKEUP', 'tariff': None}"
102966853,False,Site Engineer,,False,False,"{'id': '2759', 'name': 'Ташкент', 'url': 'https://api.hh.ru/areas/2759'}","{'from': None, 'to': 3000, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-06-29T13:17:41+0300,2024-06-29T13:17:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102966853,,https://api.hh.ru/vacancies/102966853?host=hh.ru,https://hh.ru/vacancy/102966853,[],"{'id': '11144174', 'name': 'ENGINEER HUNTERS', 'url': 'https://api.hh.ru/employers/11144174', 'alternate_url': 'https://hh.ru/employer/11144174', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6805038.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1296188.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6805039.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11144174', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'The ability to work with multiple discipline projects. Strong written and verbal communication <highlighttext>skills</highlighttext>. Knowledge of applicable codes, policies, standards...', 'responsibility': 'Under the supervision of the Construction Director, responsible for the overall project control management of the site activities. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '30', 'name': 'Главный инженер проекта'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
102966852,False,Site Engineer,,False,False,"{'id': '2789', 'name': 'Термез', 'url': 'https://api.hh.ru/areas/2789'}","{'from': None, 'to': 3000, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-06-29T13:17:41+0300,2024-06-29T13:17:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102966852,,https://api.hh.ru/vacancies/102966852?host=hh.ru,https://hh.ru/vacancy/102966852,[],"{'id': '11144174', 'name': 'ENGINEER HUNTERS', 'url': 'https://api.hh.ru/employers/11144174', 'alternate_url': 'https://hh.ru/employer/11144174', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6805038.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1296188.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6805039.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11144174', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'The ability to work with multiple discipline projects. Strong written and verbal communication <highlighttext>skills</highlighttext>. Knowledge of applicable codes, policies, standards...', 'responsibility': 'Under the supervision of the Construction Director, responsible for the overall project control management of the site activities. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '30', 'name': 'Главный инженер проекта'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
103373377,False,Разработчик Javascript,,False,False,"{'id': '2759', 'name': 'Ташкент', 'url': 'https://api.hh.ru/areas/2759'}","{'from': 500, 'to': 800, 'currency': 'EUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': None, 'building': None, 'lat': 55.751244, 'lng': 37.618423, 'description': None, 'raw': 'Москва', 'metro': {'station_name': 'Александровский сад', 'line_name': 'Филевская', 'station_id': '4.6', 'line_id': '4', 'lat': 55.752255, 'lng': 37.608775}, 'metro_stations': [{'station_name': 'Александровский сад', 'line_name': 'Филевская', 'station_id': '4.6', 'line_id': '4', 'lat': 55.752255, 'lng': 37.608775}, {'station_name': 'Библиотека им.Ленина', 'line_name': 'Сокольническая', 'station_id': '1.4', 'line_id': '1', 'lat': 55.752123, 'lng': 37.610388}, {'station_name': 'Боровицкая', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.7', 'line_id': '9', 'lat': 55.750399, 'lng': 37.60934}, {'station_name': 'Площадь Революции', 'line_name': 'Арбатско-Покровская', 'station_id': '3.100', 'line_id': '3', 'lat': 55.756741, 'lng': 37.62236}], 'id': '12105247'}",,,2024-07-05T16:07:15+0300,2024-07-05T16:07:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103373377,,https://api.hh.ru/vacancies/103373377?host=hh.ru,https://hh.ru/vacancy/103373377,[],"{'id': '6026082', 'name': 'Воронин Илья Дмитриевич', 'url': 'https://api.hh.ru/employers/6026082', 'alternate_url': 'https://hh.ru/employer/6026082', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6036006.png', '90': 'https://img.hhcdn.ru/employer-logo/6036005.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1103849.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=6026082', 'accredited_it_employer': False, 'trusted': True}","{'requirement': '...Solving <highlighttext>Skills</highlighttext>: Ability to tackle challenging programming and design problems. 6. Excellent Communication: Strong verbal and written communication <highlighttext>skills</highlighttext>. 7. ', 'responsibility': '1. End-to-End Development: Develop and maintain web and mobile applications, ensuring seamless functionality from front-end to back...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
103056501,False,React-разработчик,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 80000, 'to': 160000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-07-01T14:41:03+0300,2024-07-01T14:41:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103056501,,https://api.hh.ru/vacancies/103056501?host=hh.ru,https://hh.ru/vacancy/103056501,[],"{'id': '8999951', 'name': 'Гроссбит', 'url': 'https://api.hh.ru/employers/8999951', 'alternate_url': 'https://hh.ru/employer/8999951', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6804370.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1296021.png', '240': 'https://img.hhcdn.ru/employer-logo/6804371.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=8999951', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Hard-<highlighttext>Skills</highlighttext>. - Опыт работы с Git. - Знание английского языка, на уровне переписки в чате и чтение документации. - Знание HTML5...', 'responsibility': 'Анализировать требования, выявлять потенциальные проблемы и предлагать эффективные решения. - Разработка приложений с использованием серверных компонентов (NextJS или альтернатива). - '}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],True,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
102971023,False,Frontend Developer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 3000, 'to': 5000, 'currency': 'USD', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2024-06-29T16:56:35+0300,2024-06-29T16:56:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102971023,,https://api.hh.ru/vacancies/102971023?host=hh.ru,https://hh.ru/vacancy/102971023,[],"{'id': '9091068', 'name': 'Podscribe', 'url': 'https://api.hh.ru/employers/9091068', 'alternate_url': 'https://hh.ru/employer/9091068', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/993741.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/5595764.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/5595765.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9091068', 'accredited_it_employer': False, 'trusted': False}","{'requirement': '<highlighttext>Skills</highlighttext>: - 2+ years of React and Typescript experience. - experience with HTML5 and CSS3. - Python, Node, SQL (bonus). ', 'responsibility': ""We're bootstrapped & profitable, and have grown 3x in the past year.""}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
103283507,False,Junior веб-разработчик,,False,False,"{'id': '3', 'name': 'Екатеринбург', 'url': 'https://api.hh.ru/areas/3'}","{'from': 45000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Екатеринбург', 'street': 'улица Розы Люксембург', 'building': '67Б', 'lat': 56.825705, 'lng': 60.616007, 'description': None, 'raw': 'Екатеринбург, улица Розы Люксембург, 67Б', 'metro': {'station_name': 'Геологическая', 'line_name': 'Север-Юг', 'station_id': '48.267', 'line_id': '48', 'lat': 56.826715, 'lng': 60.603754}, 'metro_stations': [{'station_name': 'Геологическая', 'line_name': 'Север-Юг', 'station_id': '48.267', 'line_id': '48', 'lat': 56.826715, 'lng': 60.603754}], 'id': '7448943'}",,,2024-07-04T12:11:48+0300,2024-07-04T12:11:48+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103283507,,https://api.hh.ru/vacancies/103283507?host=hh.ru,https://hh.ru/vacancy/103283507,[],"{'id': '4240536', 'name': 'Студия ИСКРА', 'url': 'https://api.hh.ru/employers/4240536', 'alternate_url': 'https://hh.ru/employer/4240536', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/680689.jpg', '240': 'https://img.hhcdn.ru/employer-logo/3163889.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/3163888.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4240536', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Натягивание верстки на CMS WordPress ( если нет опыта, научим). Hard <highlighttext>skills</highlighttext>: Уверенные знания html, css, js. Базовые знания php и...', 'responsibility': 'Верстка веб-сайтов. Работа с сервером, хостингом, доменами.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
102439092,False,Стажер Java-разработчик,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': None, 'to': 25000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-06-21T14:51:07+0300,2024-06-21T14:51:07+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102439092,,https://api.hh.ru/vacancies/102439092?host=hh.ru,https://hh.ru/vacancy/102439092,[],"{'id': '10318135', 'name': 'Федаг', 'url': 'https://api.hh.ru/employers/10318135', 'alternate_url': 'https://hh.ru/employer/10318135', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6772150.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1287963.png', '240': 'https://img.hhcdn.ru/employer-logo/6772151.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10318135', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Понимание принципов ООП, понимание алгоритмов и структур данных, знание Java Core. Обязательное знание основ Java EE (Servlets, jsp). ', 'responsibility': 'Корпоративный портал с материалами для изучения любого нового стека и повышения уровня по своей специальности и не только. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'probation', 'name': 'Стажировка'}",,False,,,
103117496,False,Python Backend Developer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 1200, 'to': 1700, 'currency': 'EUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-07-05T11:05:51+0300,2024-07-05T11:05:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103117496,,https://api.hh.ru/vacancies/103117496?host=hh.ru,https://hh.ru/vacancy/103117496,[],"{'id': '9854481', 'name': 'AbeloHost B.V.', 'url': 'https://api.hh.ru/employers/9854481', 'alternate_url': 'https://hh.ru/employer/9854481', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6015233.png', '240': 'https://img.hhcdn.ru/employer-logo/6015234.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1098655.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9854481', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Microservice Architecture. Pytest/Unittest. Знание Information Security. Problem Solving <highlighttext>skills</highlighttext>. Умение коммуницировать с людьми из разных отраслей (бухгалтерия, дизайн, фронтенд...', 'responsibility': 'Разработка архитектуры сервисов. \u2060Переработка старого (Legacy) кода. Добавление функционала для новых клиентов. Разработка отчетов для новых клиентов. Тестирование и исправление...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
103092473,False,Design engineer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 250000, 'to': 300000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2024-07-05T04:39:33+0300,2024-07-05T04:39:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103092473,,https://api.hh.ru/vacancies/103092473?host=hh.ru,https://hh.ru/vacancy/103092473,[],"{'id': '2071968', 'name': 'RedStone Capital', 'url': 'https://api.hh.ru/employers/2071968', 'alternate_url': 'https://hh.ru/employer/2071968', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/501614.png', '90': 'https://img.hhcdn.ru/employer-logo/2448209.png', '240': 'https://img.hhcdn.ru/employer-logo/2448210.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2071968', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Multi-tasker, independent, punctual, and accurate with excellent organizational <highlighttext>skills</highlighttext>. Ability to schedule and manage tasks effectively. Team-oriented, collaborative...', 'responsibility': 'Design and develop mechanical and structural components. Conduct simulations and calculations to ensure the integrity and functionality of vehicle structures...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '48', 'name': 'Инженер-конструктор, инженер-проектировщик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
102935729,False,Front-End Developer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 60000, 'to': 100000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'улица Александра Солженицына', 'building': '23Ас1', 'lat': 55.744363, 'lng': 37.663297, 'description': None, 'raw': 'Москва, улица Александра Солженицына, 23Ас1', 'metro': {'station_name': 'Таганская', 'line_name': 'Кольцевая', 'station_id': '5.76', 'line_id': '5', 'lat': 55.742396, 'lng': 37.653334}, 'metro_stations': [{'station_name': 'Таганская', 'line_name': 'Кольцевая', 'station_id': '5.76', 'line_id': '5', 'lat': 55.742396, 'lng': 37.653334}], 'id': '6030487'}",,,2024-06-28T16:19:26+0300,2024-06-28T16:19:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102935729,,https://api.hh.ru/vacancies/102935729?host=hh.ru,https://hh.ru/vacancy/102935729,[],"{'id': '1525202', 'name': 'Roistat', 'url': 'https://api.hh.ru/employers/1525202', 'alternate_url': 'https://hh.ru/employer/1525202', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/1530411.png', '90': 'https://img.hhcdn.ru/employer-logo/1530410.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/271970.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1525202', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Хорошо знаешь JavaScript. Имеешь опыт коммерческой разработки от 6 месяцев минимум (JavaScript + Vue желательно) . Понимаешь принципы ООП, SOLID, DRY...', 'responsibility': 'Обмен знаниями внутри компании - мы организуем внутренние митапы по развитию hard и soft <highlighttext>skills</highlighttext>. Реальная возможность вносить и реализовывать идеи...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,True,"{'type': 'MAKEUP', 'tariff': None}"
102940122,False,QA engineer (mobile),,False,False,"{'id': '76', 'name': 'Ростов-на-Дону', 'url': 'https://api.hh.ru/areas/76'}","{'from': 180000, 'to': 250000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Ростов-на-Дону', 'street': 'проспект Соколова', 'building': '62/186', 'lat': 47.228914, 'lng': 39.71919, 'description': None, 'raw': 'Ростов-на-Дону, проспект Соколова, 62/186', 'metro': None, 'metro_stations': [], 'id': '16013789'}",,,2024-07-04T17:22:48+0300,2024-07-04T17:22:48+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102940122,,https://api.hh.ru/vacancies/102940122?host=hh.ru,https://hh.ru/vacancy/102940122,[],"{'id': '5994544', 'name': 'BrainHub', 'url': 'https://api.hh.ru/employers/5994544', 'alternate_url': 'https://hh.ru/employer/5994544', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/5550857.png', '90': 'https://img.hhcdn.ru/employer-logo/5550856.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/982509.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5994544', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Опыт работы в ручном тестировании мобильных приложений от 1 года. Знание теоретических основ тестирования: регрессионное тестирование, смоук-тестирование, нагрузочное тестирование...', 'responsibility': 'Тестирование мобильных приложений. Подготовка тестовых данных. Анализ, разработка и использование тестовой документации. Документирование и анализ обнаруженных дефектов, контроль их исправления. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
102970968,False,Senior Backend Engineer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 5000, 'to': 10000, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-06-29T16:49:39+0300,2024-06-29T16:49:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102970968,,https://api.hh.ru/vacancies/102970968?host=hh.ru,https://hh.ru/vacancy/102970968,[],"{'id': '9091068', 'name': 'Podscribe', 'url': 'https://api.hh.ru/employers/9091068', 'alternate_url': 'https://hh.ru/employer/9091068', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/993741.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/5595764.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/5595765.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9091068', 'accredited_it_employer': False, 'trusted': False}","{'requirement': '<highlighttext>Skills</highlighttext>: 7+ years of Python experience. Experience with Node.js, TypeScript, and PostgreSQL. Experience with AWS, specifically Lambda, Amplify, RDS...', 'responsibility': ""We're bootstrapped and profitable, having grown threefold in the past year.""}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
